,cif_id,avg_connect_v
1700,429407,3.1352128982543945
1706,429881,2.953302383422852
1708,430184,3.0829191207885738
1709,430185,3.0437185764312744
1714,430357,3.0888442993164062
1715,430358,3.12096643447876
1716,430359,3.1014344692230225
1718,430491,2.901861906051636
1719,430492,2.9092471599578857
1720,430493,2.9205808639526367
1721,430494,2.9357495307922363
1722,430495,2.956322431564331
1723,430496,2.9017937183380127
1724,430497,2.895979166030884
1725,430571,2.5210516452789307
1726,430574,2.5167222023010254
1727,430575,2.5315372943878174
1728,430576,2.490274429321289
1729,430602,2.485720157623291
1730,430603,2.5003881454467773
1731,430604,2.527966022491455
1736,431128,4.141970157623291
1737,431129,4.314936637878418
1738,431130,4.346296787261963
1739,431131,4.450751781463623
1740,431316,2.7754032611846924
1742,431359,4.964000225067139
1743,431367,3.9060976505279537
1744,431368,3.9444751739501953
1745,431369,4.961627960205078
1746,431370,4.9750752449035645
1747,431573,3.9248933792114262
1749,431620,4.6209821701049805
1750,431621,4.237280368804932
1751,4317,4.996694087982178
1752,432026,4.138375759124757
1756,432318,2.996735095977783
1757,43235,2.7919907569885254
1758,432590,3.273126602172852
1759,432591,2.4088058471679688
1760,432641,4.472655296325684
1763,433222,3.441399097442627
1764,433265,2.657071352005005
1765,433266,2.669809341430664
1766,433269,2.721699953079224
1767,433270,2.7576000690460205
1768,433369,3.214372158050537
1769,433456,4.644418716430664
1770,433457,4.899684429168701
1775,434036,4.787686347961426
1776,434038,4.801400184631348
1778,434728,4.565742492675781
1779,434755,3.676229238510132
1780,43628,2.988600015640259
1781,43630,3.0750000476837163
1782,43689,2.8473715782165527
1783,43966,3.0450000762939453
1784,43987,2.9900410175323486
1785,43989,3.025000095367432
1786,43992,2.961999893188477
1787,44522,3.180964231491089
1788,44781,3.630000114440918
1789,44807,4.257631301879884
1790,44810,2.8678719997406006
1791,44821,2.9249999523162837
1792,44822,2.984999895095825
1793,44824,4.086228847503662
1794,44830,3.878480672836304
1795,44837,4.021316051483153
1796,44879,2.8470947742462163
1797,44900,2.840159177780152
1798,44901,4.060914039611816
